event_id,event_type,lead_id,email,timestamp,metadata
evt_0001,FORM_SUBMISSION,lead_1001,sarah.moore@meta.com,2026-01-10T11:33:22.553Z,"{""name"":""Sarah Moore"",""company"":""Meta"",""source"":""batch_upload_demo""}"
evt_0002,FORM_SUBMISSION,lead_1002,barbara.lopez@oracle.com,2026-01-09T11:55:39.753Z,"{""name"":""Barbara Lopez"",""company"":""Oracle"",""source"":""batch_upload_demo""}"
evt_0003,FORM_SUBMISSION,lead_1003,joseph.anderson@microsoft.com,2026-01-07T20:12:03.383Z,"{""name"":""Joseph Anderson"",""company"":""Microsoft"",""source"":""batch_upload_demo""}"
evt_0004,DEMO_REQUEST,lead_1004,barbara.lopez@microsoft.com,2026-01-09T00:01:06.617Z,"{""name"":""Barbara Lopez"",""company"":""Microsoft"",""source"":""batch_upload_demo""}"
evt_0005,EMAIL_OPEN,lead_1005,barbara.lopez@tesla.com,2026-01-13T05:02:18.302Z,"{""name"":""Barbara Lopez"",""company"":""Tesla"",""source"":""batch_upload_demo""}"
evt_0006,EMAIL_OPEN,lead_1006,elizabeth.martinez@tesla.com,2026-01-14T06:30:55.236Z,"{""name"":""Elizabeth Martinez"",""company"":""Tesla"",""source"":""batch_upload_demo""}"
evt_0007,EMAIL_OPEN,lead_1007,elizabeth.martinez@salesforce.com,2026-01-12T23:24:46.903Z,"{""name"":""Elizabeth Martinez"",""company"":""Salesforce"",""source"":""batch_upload_demo""}"
evt_0008,DEMO_REQUEST,lead_1008,david.hernandez@amazon.com,2026-01-12T17:02:32.040Z,"{""name"":""David Hernandez"",""company"":""Amazon"",""source"":""batch_upload_demo""}"
evt_0009,DEMO_REQUEST,lead_1009,jessica.thomas@intel.com,2026-01-08T07:10:41.372Z,"{""name"":""Jessica Thomas"",""company"":""Intel"",""source"":""batch_upload_demo""}"
evt_0010,PURCHASE,lead_1010,jessica.thomas@oracle.com,2026-01-12T17:51:08.754Z,"{""name"":""Jessica Thomas"",""company"":""Oracle"",""source"":""batch_upload_demo"",""amount"":950}"
evt_0011,DEMO_REQUEST,lead_1011,jennifer.garcia@salesforce.com,2026-01-12T13:15:31.084Z,"{""name"":""Jennifer Garcia"",""company"":""Salesforce"",""source"":""batch_upload_demo""}"
evt_0012,DEMO_REQUEST,lead_1012,linda.davis@uber.com,2026-01-08T22:34:11.779Z,"{""name"":""Linda Davis"",""company"":""Uber"",""source"":""batch_upload_demo""}"
evt_0013,DEMO_REQUEST,lead_1013,susan.wilson@meta.com,2026-01-13T23:41:58.137Z,"{""name"":""Susan Wilson"",""company"":""Meta"",""source"":""batch_upload_demo""}"
evt_0014,PURCHASE,lead_1014,charles.jackson@amazon.com,2026-01-07T23:13:24.744Z,"{""name"":""Charles Jackson"",""company"":""Amazon"",""source"":""batch_upload_demo"",""amount"":64}"
evt_0015,EMAIL_OPEN,lead_1015,susan.wilson@twitter.com,2026-01-09T22:02:16.933Z,"{""name"":""Susan Wilson"",""company"":""Twitter"",""source"":""batch_upload_demo""}"
evt_0016,PURCHASE,lead_1016,linda.davis@salesforce.com,2026-01-07T08:26:17.537Z,"{""name"":""Linda Davis"",""company"":""Salesforce"",""source"":""batch_upload_demo"",""amount"":548}"
evt_0017,PURCHASE,lead_1017,jennifer.garcia@microsoft.com,2026-01-10T11:54:05.899Z,"{""name"":""Jennifer Garcia"",""company"":""Microsoft"",""source"":""batch_upload_demo"",""amount"":217}"
evt_0018,PAGE_VIEW,lead_1018,william.rodriguez@nvidia.com,2026-01-09T05:07:15.991Z,"{""name"":""William Rodriguez"",""company"":""NVIDIA"",""source"":""batch_upload_demo"",""url"":""/features""}"
evt_0019,DEMO_REQUEST,lead_1019,elizabeth.martinez@apple.com,2026-01-10T23:56:31.071Z,"{""name"":""Elizabeth Martinez"",""company"":""Apple"",""source"":""batch_upload_demo""}"
evt_0020,FORM_SUBMISSION,lead_1020,karen.martin@spotify.com,2026-01-13T08:07:38.359Z,"{""name"":""Karen Martin"",""company"":""Spotify"",""source"":""batch_upload_demo""}"
evt_0021,FORM_SUBMISSION,lead_1021,charles.jackson@apple.com,2026-01-13T07:11:06.249Z,"{""name"":""Charles Jackson"",""company"":""Apple"",""source"":""batch_upload_demo""}"
evt_0022,PURCHASE,lead_1022,robert.williams@spotify.com,2026-01-12T10:17:07.045Z,"{""name"":""Robert Williams"",""company"":""Spotify"",""source"":""batch_upload_demo"",""amount"":361}"
evt_0023,FORM_SUBMISSION,lead_1023,robert.williams@meta.com,2026-01-10T10:57:57.351Z,"{""name"":""Robert Williams"",""company"":""Meta"",""source"":""batch_upload_demo""}"
evt_0024,EMAIL_OPEN,lead_1024,mary.johnson@netflix.com,2026-01-08T14:18:15.566Z,"{""name"":""Mary Johnson"",""company"":""Netflix"",""source"":""batch_upload_demo""}"
evt_0025,EMAIL_OPEN,lead_1025,michael.miller@netflix.com,2026-01-08T22:19:21.343Z,"{""name"":""Michael Miller"",""company"":""Netflix"",""source"":""batch_upload_demo""}"
evt_0026,EMAIL_OPEN,lead_1026,michael.miller@twitter.com,2026-01-13T19:41:00.322Z,"{""name"":""Michael Miller"",""company"":""Twitter"",""source"":""batch_upload_demo""}"
evt_0027,EMAIL_OPEN,lead_1027,mary.johnson@spotify.com,2026-01-10T08:01:42.582Z,"{""name"":""Mary Johnson"",""company"":""Spotify"",""source"":""batch_upload_demo""}"
evt_0028,FORM_SUBMISSION,lead_1028,susan.wilson@netflix.com,2026-01-10T19:38:12.160Z,"{""name"":""Susan Wilson"",""company"":""Netflix"",""source"":""batch_upload_demo""}"
evt_0029,PURCHASE,lead_1029,richard.gonzalez@twitter.com,2026-01-11T12:56:37.224Z,"{""name"":""Richard Gonzalez"",""company"":""Twitter"",""source"":""batch_upload_demo"",""amount"":243}"
evt_0030,PAGE_VIEW,lead_1030,michael.miller@adobe.com,2026-01-13T22:49:37.209Z,"{""name"":""Michael Miller"",""company"":""Adobe"",""source"":""batch_upload_demo"",""url"":""/pricing""}"
evt_0031,EMAIL_OPEN,lead_1031,linda.davis@tesla.com,2026-01-11T21:38:34.322Z,"{""name"":""Linda Davis"",""company"":""Tesla"",""source"":""batch_upload_demo""}"
evt_0032,PAGE_VIEW,lead_1032,joseph.anderson@netflix.com,2026-01-10T08:42:56.405Z,"{""name"":""Joseph Anderson"",""company"":""Netflix"",""source"":""batch_upload_demo"",""url"":""/docs""}"
evt_0033,FORM_SUBMISSION,lead_1033,michael.miller@intel.com,2026-01-10T15:02:41.746Z,"{""name"":""Michael Miller"",""company"":""Intel"",""source"":""batch_upload_demo""}"
evt_0034,PAGE_VIEW,lead_1034,james.smith@spotify.com,2026-01-12T03:33:39.412Z,"{""name"":""James Smith"",""company"":""Spotify"",""source"":""batch_upload_demo"",""url"":""/docs""}"
evt_0035,FORM_SUBMISSION,lead_1035,patricia.brown@meta.com,2026-01-08T01:05:39.879Z,"{""name"":""Patricia Brown"",""company"":""Meta"",""source"":""batch_upload_demo""}"
evt_0036,PURCHASE,lead_1036,robert.williams@nvidia.com,2026-01-08T23:05:21.944Z,"{""name"":""Robert Williams"",""company"":""NVIDIA"",""source"":""batch_upload_demo"",""amount"":973}"
evt_0037,PURCHASE,lead_1037,jessica.thomas@apple.com,2026-01-14T01:39:58.509Z,"{""name"":""Jessica Thomas"",""company"":""Apple"",""source"":""batch_upload_demo"",""amount"":609}"
evt_0038,PURCHASE,lead_1038,susan.wilson@tesla.com,2026-01-09T22:38:40.087Z,"{""name"":""Susan Wilson"",""company"":""Tesla"",""source"":""batch_upload_demo"",""amount"":74}"
evt_0039,PURCHASE,lead_1039,susan.wilson@tesla.com,2026-01-11T18:29:03.981Z,"{""name"":""Susan Wilson"",""company"":""Tesla"",""source"":""batch_upload_demo"",""amount"":974}"
evt_0040,FORM_SUBMISSION,lead_1040,james.smith@spotify.com,2026-01-13T14:48:36.672Z,"{""name"":""James Smith"",""company"":""Spotify"",""source"":""batch_upload_demo""}"
evt_0041,PURCHASE,lead_1041,patricia.brown@tesla.com,2026-01-11T07:26:58.999Z,"{""name"":""Patricia Brown"",""company"":""Tesla"",""source"":""batch_upload_demo"",""amount"":365}"
evt_0042,FORM_SUBMISSION,lead_1042,david.hernandez@twitter.com,2026-01-12T10:29:14.541Z,"{""name"":""David Hernandez"",""company"":""Twitter"",""source"":""batch_upload_demo""}"
evt_0043,EMAIL_OPEN,lead_1043,william.rodriguez@twitter.com,2026-01-07T23:19:59.908Z,"{""name"":""William Rodriguez"",""company"":""Twitter"",""source"":""batch_upload_demo""}"
evt_0044,EMAIL_OPEN,lead_1044,mary.johnson@adobe.com,2026-01-10T00:39:58.012Z,"{""name"":""Mary Johnson"",""company"":""Adobe"",""source"":""batch_upload_demo""}"
evt_0045,DEMO_REQUEST,lead_1045,charles.jackson@microsoft.com,2026-01-10T16:45:34.973Z,"{""name"":""Charles Jackson"",""company"":""Microsoft"",""source"":""batch_upload_demo""}"
evt_0046,PURCHASE,lead_1046,jessica.thomas@adobe.com,2026-01-10T01:39:10.860Z,"{""name"":""Jessica Thomas"",""company"":""Adobe"",""source"":""batch_upload_demo"",""amount"":760}"
evt_0047,EMAIL_OPEN,lead_1047,robert.williams@adobe.com,2026-01-10T03:00:58.690Z,"{""name"":""Robert Williams"",""company"":""Adobe"",""source"":""batch_upload_demo""}"
evt_0048,PURCHASE,lead_1048,james.smith@salesforce.com,2026-01-10T12:49:41.342Z,"{""name"":""James Smith"",""company"":""Salesforce"",""source"":""batch_upload_demo"",""amount"":977}"
evt_0049,FORM_SUBMISSION,lead_1049,karen.martin@intel.com,2026-01-12T13:11:36.511Z,"{""name"":""Karen Martin"",""company"":""Intel"",""source"":""batch_upload_demo""}"
evt_0050,PAGE_VIEW,lead_1000,james.smith@intel.com,2026-01-07T17:35:35.812Z,"{""name"":""James Smith"",""company"":""Intel"",""source"":""batch_upload_demo"",""url"":""/docs""}"
evt_0051,PAGE_VIEW,lead_1001,robert.williams@uber.com,2026-01-12T06:17:05.434Z,"{""name"":""Robert Williams"",""company"":""Uber"",""source"":""batch_upload_demo"",""url"":""/docs""}"
evt_0052,PAGE_VIEW,lead_1002,william.rodriguez@meta.com,2026-01-10T15:23:26.852Z,"{""name"":""William Rodriguez"",""company"":""Meta"",""source"":""batch_upload_demo"",""url"":""/pricing""}"
evt_0053,PAGE_VIEW,lead_1003,susan.wilson@intel.com,2026-01-10T13:30:57.937Z,"{""name"":""Susan Wilson"",""company"":""Intel"",""source"":""batch_upload_demo"",""url"":""/home""}"
evt_0054,PURCHASE,lead_1004,elizabeth.martinez@meta.com,2026-01-11T23:57:46.129Z,"{""name"":""Elizabeth Martinez"",""company"":""Meta"",""source"":""batch_upload_demo"",""amount"":832}"
evt_0055,DEMO_REQUEST,lead_1005,david.hernandez@microsoft.com,2026-01-13T23:57:31.465Z,"{""name"":""David Hernandez"",""company"":""Microsoft"",""source"":""batch_upload_demo""}"
evt_0056,PURCHASE,lead_1006,william.rodriguez@tesla.com,2026-01-09T00:32:56.302Z,"{""name"":""William Rodriguez"",""company"":""Tesla"",""source"":""batch_upload_demo"",""amount"":55}"
evt_0057,PAGE_VIEW,lead_1007,michael.miller@uber.com,2026-01-10T18:57:09.844Z,"{""name"":""Michael Miller"",""company"":""Uber"",""source"":""batch_upload_demo"",""url"":""/pricing""}"
evt_0058,DEMO_REQUEST,lead_1008,jessica.thomas@meta.com,2026-01-07T07:41:44.580Z,"{""name"":""Jessica Thomas"",""company"":""Meta"",""source"":""batch_upload_demo""}"
evt_0059,FORM_SUBMISSION,lead_1009,barbara.lopez@adobe.com,2026-01-08T03:07:04.544Z,"{""name"":""Barbara Lopez"",""company"":""Adobe"",""source"":""batch_upload_demo""}"
evt_0060,FORM_SUBMISSION,lead_1010,jessica.thomas@apple.com,2026-01-13T23:04:40.954Z,"{""name"":""Jessica Thomas"",""company"":""Apple"",""source"":""batch_upload_demo""}"
evt_0061,FORM_SUBMISSION,lead_1011,jessica.thomas@apple.com,2026-01-12T19:23:52.726Z,"{""name"":""Jessica Thomas"",""company"":""Apple"",""source"":""batch_upload_demo""}"
evt_0062,EMAIL_OPEN,lead_1012,jessica.thomas@uber.com,2026-01-12T02:46:09.688Z,"{""name"":""Jessica Thomas"",""company"":""Uber"",""source"":""batch_upload_demo""}"
evt_0063,PURCHASE,lead_1013,sarah.moore@tesla.com,2026-01-10T23:52:55.937Z,"{""name"":""Sarah Moore"",""company"":""Tesla"",""source"":""batch_upload_demo"",""amount"":1031}"
evt_0064,PAGE_VIEW,lead_1014,patricia.brown@apple.com,2026-01-07T20:26:23.832Z,"{""name"":""Patricia Brown"",""company"":""Apple"",""source"":""batch_upload_demo"",""url"":""/features""}"
evt_0065,PAGE_VIEW,lead_1015,joseph.anderson@twitter.com,2026-01-13T15:58:30.055Z,"{""name"":""Joseph Anderson"",""company"":""Twitter"",""source"":""batch_upload_demo"",""url"":""/features""}"
evt_0066,PURCHASE,lead_1016,charles.jackson@amazon.com,2026-01-11T10:14:20.383Z,"{""name"":""Charles Jackson"",""company"":""Amazon"",""source"":""batch_upload_demo"",""amount"":812}"
evt_0067,PURCHASE,lead_1017,sarah.moore@google.com,2026-01-13T12:33:17.244Z,"{""name"":""Sarah Moore"",""company"":""Google"",""source"":""batch_upload_demo"",""amount"":187}"
evt_0068,FORM_SUBMISSION,lead_1018,robert.williams@oracle.com,2026-01-09T07:06:37.026Z,"{""name"":""Robert Williams"",""company"":""Oracle"",""source"":""batch_upload_demo""}"
evt_0069,DEMO_REQUEST,lead_1019,elizabeth.martinez@adobe.com,2026-01-12T20:53:34.975Z,"{""name"":""Elizabeth Martinez"",""company"":""Adobe"",""source"":""batch_upload_demo""}"
evt_0070,FORM_SUBMISSION,lead_1020,james.smith@meta.com,2026-01-10T09:56:53.847Z,"{""name"":""James Smith"",""company"":""Meta"",""source"":""batch_upload_demo""}"
evt_0071,PAGE_VIEW,lead_1021,john.jones@apple.com,2026-01-13T19:17:38.267Z,"{""name"":""John Jones"",""company"":""Apple"",""source"":""batch_upload_demo"",""url"":""/features""}"
evt_0072,FORM_SUBMISSION,lead_1022,mary.johnson@twitter.com,2026-01-10T01:01:56.092Z,"{""name"":""Mary Johnson"",""company"":""Twitter"",""source"":""batch_upload_demo""}"
evt_0073,PURCHASE,lead_1023,barbara.lopez@meta.com,2026-01-11T14:49:13.087Z,"{""name"":""Barbara Lopez"",""company"":""Meta"",""source"":""batch_upload_demo"",""amount"":195}"
evt_0074,PAGE_VIEW,lead_1024,susan.wilson@meta.com,2026-01-08T20:26:52.669Z,"{""name"":""Susan Wilson"",""company"":""Meta"",""source"":""batch_upload_demo"",""url"":""/pricing""}"
evt_0075,EMAIL_OPEN,lead_1025,charles.jackson@adobe.com,2026-01-13T18:01:02.380Z,"{""name"":""Charles Jackson"",""company"":""Adobe"",""source"":""batch_upload_demo""}"
evt_0076,FORM_SUBMISSION,lead_1026,robert.williams@nvidia.com,2026-01-10T07:12:47.488Z,"{""name"":""Robert Williams"",""company"":""NVIDIA"",""source"":""batch_upload_demo""}"
evt_0077,PURCHASE,lead_1027,robert.williams@twitter.com,2026-01-08T20:35:17.082Z,"{""name"":""Robert Williams"",""company"":""Twitter"",""source"":""batch_upload_demo"",""amount"":869}"
evt_0078,EMAIL_OPEN,lead_1028,robert.williams@oracle.com,2026-01-08T05:56:37.582Z,"{""name"":""Robert Williams"",""company"":""Oracle"",""source"":""batch_upload_demo""}"
evt_0079,EMAIL_OPEN,lead_1029,robert.williams@google.com,2026-01-08T21:30:04.681Z,"{""name"":""Robert Williams"",""company"":""Google"",""source"":""batch_upload_demo""}"
